Link,Title,Location,Salary,Summary
https://kr.indeed.com/viejob?jk=89c2c453695cdea7 ,2020년 수시,하나은행 4.0 대한민국,,"ㅇ 데이터구조, 알고리즘 등 기초 전산 지식과 ML/DL 분석모형 관련 지식을 보유한 자 ㅇ SQL, R, Python, Scala, Keras, TensorFlow 등을 통해 분석 모형 구현이 가능한 자 [우대사항] ㅇ..."
https://kr.indeed.com/viejob?jk=92bd400e3b5306ba ,[Clova] Clova AI 인재,네이버 대한민국,,"산시스템 등 CS 핵심 전공 지식 관련한 수준 높은 이해 Git을 능숙하게 사용 백엔드 서버 구현 역량 ( Python, Golang, Java Spring, node.js 등) Mobile App 개발 Objective..."
https://kr.indeed.com/viejob?jk=5931380bf0919d90 ,제2020-1회 수리 및 계산 과학 연구단 데이터사이언스그룹 연구직,기초과학연구원 대전,,우수 국제 컨퍼런스 혹은 국제저널 논문 게재자 · 분석언어와 도구를 하나 이상 능숙하게 다룰 수 있는 자( Python/R/Scala/Scikit-learn/Spark/TensorFlow/PyTorch) · 로그 수준의 데이터...
https://kr.indeed.com/viejob?jk=02b00ed83695c87d ,2020년 국가표준코디네이터[인공지능분야],한국표준협회 서울 강남구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viejob?jk=b79c2ae536063b01 ,[전문연구요원] 상시,네이버 대한민국,,"Tool Engineer ㅇ Python/C/C++ 언어 개발 용이 ㅇ... Design, Debugging Skills ㅇ스크립트 언어 개발 경험 ( Python, Bash, etc.) ㅇ Embedded Platform과..."
https://kr.indeed.com/viejob?jk=433ceb4487baf3dc ,"Cyber Risk Management Analyst, Mid",Booz Allen Hamilton 경기도 평택,,Competitions — From programming competitions at our PyNights ( Python competition and learning events) to competing in CTFs...
https://kr.indeed.com/viejob?jk=466ed639df372448 ,[판교]기술지원,NHN Service] [판교 4.4 경기도,,"Linux, Windows Server 트러블 슈팅 숙련자 - 2년 이상의 개발 경험자(PHP, Python 등) 본 채용은 상시 채용으로 면접이 수시로 진행되며, 先지원자에게 기회가 먼저 부여되므로 빠른 지원 바랍니..."
https://kr.indeed.com/viejob?jk=30e6b7545e75c949 ,IT 전문가 양성 교육과정 교육생 (취업연계),인제대학교 산학협력단 경상남도 김해,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷...
https://kr.indeed.com/viejob?jk=dfcb86f156623e5c ,보훈대상자 인재 채용,네오위즈 대한민국,,"IDS, IPS, WAF, VMS, PMS에 대한 운영 경험이 있는 분 - 각종 스크립트 언어(Perl, Python, shell script 등) 능력을 갖춘 분 <공통역량> - 원만한 대인관계 및 커뮤니케이션 능력을..."
https://kr.indeed.com/viejob?jk=56bcae4fcfe15488 ,연동개발팀 직,NHN Edu 4.4 성남 판교역,,"우대사항 - 범용 웹 크롤러 플랫폼 개발 - 운영 자동화 도구 개발 - 크롤링 관련 데이터 분석 - Python, Ruby 언어 중 1개 이상의 개발 경험 - 배치 소프트웨어 혹은 웹 개발 가능자 - 개발 경험 2..."
